created_at,is_open,owner_username,owner_id,id,last_message_body,owner_avatar_url,rate
2023-11-24 09:23:02.177+00,false,anonymousId_35986166-535e-4349-8e78-2c91ed080723,anonymousId_35986166-535e-4349-8e78-2c91ed080723,07aa5904-50d4-443d-9d77-91578021559e,hi,,
2023-12-01 18:30:35.01+00,false,anonymousId_a0374aa5-1216-4e14-842f-75cb82746051,anonymousId_a0374aa5-1216-4e14-842f-75cb82746051,08db43f9-610b-4cfb-8e64-d841d7dccdcf,Hi,,
2023-12-07 15:38:30.005+00,false,anonymousId_a7bfbd7a-4ea7-4d9c-9388-8310bb4a1940,anonymousId_a7bfbd7a-4ea7-4d9c-9388-8310bb4a1940,0951b30c-fe68-41b4-845e-f7468e090f5a,time,,3
2023-12-07 17:22:16.549+00,false,anonymousId_a7bfbd7a-4ea7-4d9c-9388-8310bb4a1940,anonymousId_a7bfbd7a-4ea7-4d9c-9388-8310bb4a1940,0a1d7265-8c88-4558-bf9d-051d96e4e35f,f,,
2023-12-08 09:30:53.961+00,false,anonymousId_5d26f0fd-a3bc-4daa-b595-2b1022b8a182,anonymousId_5d26f0fd-a3bc-4daa-b595-2b1022b8a182,0ce14add-394f-40f7-93ab-4e5ba5a0669f,123,,
2023-12-08 09:40:12.44+00,false,anonymousId_5d26f0fd-a3bc-4daa-b595-2b1022b8a182,anonymousId_5d26f0fd-a3bc-4daa-b595-2b1022b8a182,0dfc2724-f4f4-48ff-a862-dec4fae4ec51,134,,2
2024-03-24 19:17:00.839+00,true,Nikita,cf6f18cf-de80-4468-b767-f9f0fcd02e7b,0e6d1abb-7c8c-4b09-8e14-8096952a138f,hey man,https://lh3.googleusercontent.com/a/ACg8ocIv2-Ly1z0ag3ortZ5MWBUEzQ7LBFeiJ9aazsHRzIKXnms=s96-c,
2023-11-24 08:30:35.566+00,false,anonymousId_35986166-535e-4349-8e78-2c91ed080723,anonymousId_35986166-535e-4349-8e78-2c91ed080723,0f57b78a-f593-4c57-bdad-af0fe574009e,123,,4
2023-11-24 09:13:24.619+00,false,anonymousId_35986166-535e-4349-8e78-2c91ed080723,anonymousId_35986166-535e-4349-8e78-2c91ed080723,1133be33-e4ea-4fa7-852b-3dc3166dddab,123,,4
2023-12-07 13:52:25.634+00,false,anonymousId_66f8951e-69b8-4a4d-9feb-a83dcb35364d,anonymousId_66f8951e-69b8-4a4d-9feb-a83dcb35364d,11541222-d90e-4a10-b9ce-02cd55240f0c,ahaah,,
